level	monster_id	role	allow_unique_boost
1	MT_WSKELAX	core	-
1	MT_NZOMBIE	core	-
1	MT_RFALLSP	core	-
1	MT_NSCAV	core	-
2	MT_RSKELAX	core	-
2	MT_WSKELSD	core	-
2	MT_GZOMBIE	core	-
2	MT_DFALLSP	core	-
2	MT_BZOMBIE	core	-
3	MT_RSKELAX	core	-
3	MT_XSKELAX	core	-
3	MT_YZOMBIE	core	-
3	MT_FIEND	core	-
3	MT_BLINK	core	-
4	MT_XSKELAX	core	-
4	MT_XSKELBW	core	-
4	MT_YFALLSD	core	-
4	MT_GZOMBIE	core	-
4	MT_YZOMBIE	core	-
5	MT_XSKELAX	core	-
5	MT_YZOMBIE	core	-
5	MT_FAT	core	-
5	MT_STALKER	core	-
6	MT_NGOATMC	core	-
6	MT_XSKELSD	core	-
6	MT_STALKER	core	-
6	MT_UNSEEN	core	-
7	MT_BGOATMC	core	-
7	MT_RGOATMC	core	-
7	MT_FAT	core	-
7	MT_UNSEEN	core	-
8	MT_TOAD	core	-
8	MT_UNSEEN	core	-
8	MT_ILLWEAV	core	-
8	MT_FAMILIAR	core	-
8	MT_HORNED	core	-
9	MT_BMAGMA	core	-
9	MT_MUDMAN	core	-
9	MT_GGOATBW	core	-
9	MT_ILLWEAV	core	-
10	MT_BACID	core	-
10	MT_TOAD	core	-
10	MT_STORM	core	-
10	MT_ILLWEAV	core	-
11	MT_STORML	core	-
11	MT_BMAGMA	core	-
11	MT_MEGA	core	-
11	MT_OBLORD	core	-
12	MT_STORML	core	-
12	MT_MEGA	core	-
12	MT_NSNAKE	core	-
12	MT_BACID	core	-
13	MT_NBLACK	core	-
13	MT_GUARD	core	-
14	MT_VTEXLRD	core	-
14	MT_BALROG	core	-
15	MT_BALROG	core	-
15	MT_GSNAKE	core	-
16	MT_GSNAKE	core	-
16	MT_BTBLACK	core	-
16	MT_CABALIST	core	-
16	MT_ADVOCATE	core	-
17	MT_HELLBOAR	core	-
17	MT_STINGER	core	-
18	MT_ARACHNON	core	-
18	MT_FELLTWIN	core	-
18	MT_STINGER	core	-
19	MT_VENMTAIL	core	-
19	MT_LASHWORM	core	-
19	MT_TORCHANT	core	-
20	MT_LASHWORM	core	-
20	MT_TORCHANT	core	-
20	MT_VENMTAIL	core	-
21	MT_TOMBRAT	core	-
21	MT_LICH	core	-
21	MT_GRAVEDIG	core	-
22	MT_CRYPTDMN	core	-
22	MT_FIREBAT	core	-
22	MT_TOMBRAT	core	-
23	MT_BICLOPS	core	-
23	MT_ARCHLICH	core	-
23	MT_CRYPTDMN	core	-
24	MT_REAPER	core	-
24	MT_HELLBAT	core	-
