id	name	soundId	bookCost10	staffCost10	manaCost	flags	bookLevel	staffLevel	minIntelligence	missiles	manaMultiplier	minMana	staffMin	staffMax	description
Firebolt	Firebolt	CastFire	100	5	6	Fire,Targeted	1	1	15	Firebolt	1	3	40	80	Fires a bolt of fire at a single target.
Healing	Healing	CastHealing	100	5	5	Magic,AllowedInTown	1	1	17	Healing	3	1	20	40	Restores some of the caster's health. Warriors receive double the healing.
Lightning	Lightning	CastLightning	300	15	10	Lightning,Targeted	4	3	20	LightningControl	1	6	20	60	Calls down a lightning strike on a single target.
Flash	Flash	CastLightning	750	50	30	Lightning	5	4	33	FlashBottom,FlashTop	2	16	20	40	A bright flash of light that damages a single target.
Identify	Identify	CastSkill	0	10	13	Magic,AllowedInTown	-1	-1	23	Identify	2	1	8	12	Reveals the magical properties of an item. Cast on an item in your inventory.
FireWall	Fire Wall	CastFire	600	40	28	Fire,Targeted	3	2	27	FireWallControl	2	16	8	16	Creates a wall of fire that damages enemies who pass through it.
TownPortal	Town Portal	CastSkill	300	20	35	Magic,Targeted	3	3	20	TownPortal	3	18	8	12	Opens a portal to town. The caster can return through the portal.
StoneCurse	Stone Curse	CastFire	1200	80	60	Magic,Targeted	6	5	51	StoneCurse	3	40	8	16	Temporarily turns a target to stone, preventing movement and attack.
Infravision	Infravision	CastHealing	0	60	40	Magic	-1	-1	36	Infravision	5	20	0	0	Allows the caster to see in the dark, revealing hidden enemies.
Phasing	Phasing	CastFire	350	20	12	Magic	7	6	39	Phasing	2	4	40	80	Instantly teleports the caster to a random nearby location.
ManaShield	Mana Shield	CastFire	1600	120	33	Magic	6	5	25	ManaShield	0	33	4	10	Creates a shield that absorbs damage using mana instead of health.
Fireball	Fireball	CastFire	800	30	16	Fire,Targeted	8	7	48	Fireball	1	10	40	80	A large fireball that explodes on impact, damaging all nearby enemies.
Guardian	Guardian	CastFire	1400	95	50	Fire,Targeted	9	8	61	Guardian	2	30	16	32	Summons a guardian that fires at nearby enemies.
ChainLightning	Chain Lightning	CastFire	1100	75	30	Lightning	8	7	54	ChainLightning	1	18	20	60	Strikes a target with lightning that chains to nearby enemies.
FlameWave	Flame Wave	CastFire	1000	65	35	Fire,Targeted	9	8	54	FlameWaveControl	3	20	20	40	Sends a wave of flame across the ground damaging all in its path.
DoomSerpents	Doom Serpents	CastFire	0	0	0	Lightning	-1	-1	0		0	0	40	80	
BloodRitual	Blood Ritual	CastFire	0	0	0	Magic	-1	-1	0		0	0	40	80	
Nova	Nova	CastLightning	2100	130	60	Magic	-1	10	87	Nova	3	35	16	32	Emits a ring of flame in all directions, damaging nearby enemies.
Invisibility	Invisibility	CastFire	0	0	0	Magic	-1	-1	0		0	0	40	80	
Inferno	Inferno	CastFire	200	10	11	Fire,Targeted	3	2	20	InfernoControl	1	6	20	40	Breathes a continuous stream of fire at enemies.
Golem	Golem	CastFire	1800	110	100	Fire,Targeted	11	9	81	Golem	6	60	16	32	Summons a stone golem to fight for the caster.
Rage	Rage	CastHealing	0	0	15	Magic	-1	-1	0	Rage	1	1	0	0	Increases the Barbarian's attack speed and damage for a short time.
Teleport	Teleport	CastSkill	2000	125	35	Magic,Targeted	14	12	105	Teleport	3	15	16	32	Instantly moves the caster to the targeted location.
Apocalypse	Apocalypse	CastFire	3000	200	150	Fire	-1	15	149	Apocalypse	6	90	8	12	Massive damage to all enemies on the screen. Power increases with caster level.
Etherealize	Etherealize	CastFire	2600	160	100	Magic	-1	-1	93	Etherealize	0	100	2	6	Makes the caster ethereal, reducing damage taken but preventing physical attacks.
ItemRepair	Item Repair	CastSkill	0	0	0	Magic,AllowedInTown	-1	-1	255	ItemRepair	0	0	40	80	Repairs an equipped item's durability. Warning: reduces maximum durability.
StaffRecharge	Staff Recharge	CastSkill	0	0	0	Magic,AllowedInTown	-1	-1	255	StaffRecharge	0	0	40	80	Recharges the charges on an equipped staff.
TrapDisarm	Trap Disarm	CastSkill	0	0	0	Magic	-1	-1	255	TrapDisarm	0	0	40	80	Disables a trap on the ground.
Elemental	Elemental	CastFire	1050	70	35	Fire	8	6	68	Elemental	2	20	20	60	Calls down a elemental from the sky to attack enemies.
ChargedBolt	Charged Bolt	CastFire	100	5	6	Lightning,Targeted	1	1	25	ChargedBolt	1	6	40	80	Fires multiple charged bolts that seek out nearby enemies.
HolyBolt	Holy Bolt	CastFire	100	5	7	Magic,Targeted	1	1	20	HolyBolt	1	3	40	80	Fires a bolt of holy energy. Damages undead only.
Resurrect	Resurrect	CastHealing	400	25	20	Magic,AllowedInTown	-1	5	30	Resurrect	0	20	4	10	Brings a dead player back to life with partial health.
Telekinesis	Telekinesis	CastFire	250	20	15	Magic	2	2	33	Telekinesis	2	8	20	40	Allows the caster to pick up items and open doors from a distance.
HealOther	Heal Other	CastHealing	100	5	5	Magic,AllowedInTown	1	1	17	HealOther	3	1	20	40	Restores health to another player. Warriors receive double the healing.
BloodStar	Blood Star	CastFire	2750	180	25	Magic	14	13	70	BloodStar	2	14	20	60	Fires a star of blood that deals heavy damage at the cost of caster health.
BoneSpirit	Bone Spirit	CastFire	1150	80	24	Magic	9	7	34	BoneSpirit	1	12	20	60	Drains one third of the target's life.
